Gate,Question,Why Ask,Answer,Notes
Gate 0,งานนี้คืออะไร?,ถ้าไม่เข้าใจงาน จะทำผิดทิศทาง,,
Gate 0,ใครเป็น user?,User ต่างกัน = requirement ต่างกัน,,
Gate 0,ขอบเคตงานอยู่ตรงไหน?,ถ้าไม่กำหนดขอบเขต งานจะบานปลาย,,
Gate 0,งานนี้ urgent จริงหรือแค่รู้สึก urgent?,ความ urgent ที่เกิดจากอารมณ์จะทำให้ข้ามขั้นตอนสำคัญ,,
Gate 0,ข้อมูลอะไรที่ยังขาด?,ถ้าข้อมูลไม่ครบ จะทำไม่ได้หรือทำผิด,,
Gate 1,ทำไมต้องทำงานนี้?,เข้าใจ business value,,
Gate 1,ใครเป็น user? Pain points คืออะไร?,เข้าใจปัญหาของ user,,
Gate 1,Success criteria คืออะไร?,รู้ว่าสำเร็จเมื่อไร (วัดได้),,
Gate 1,Revenue model คืออะไร?,เข้าใจว่าสร้างรายได้ยังไง,,
Gate 2,งานนี้เกี่ยวกับ module ไหน?,เข้าใจ architecture,,
Gate 2,Upstream/Downstream คืออะไร?,รู้ data flow,,
Gate 2,Dependency มีอะไรบ้าง?,รู้ว่า module ไหนพึ่งพากัน,,
Gate 2,ถ้าพัง จะกระทบอะไรบ้าง?,วิเคราะห์ impact,,
Gate 3,ถ้าพัง จะเกิดอะไร?,ระบุ worst-case scenario,,
Gate 3,Rollback ทำได้ไหม?,วางแผน rollback,,
Gate 3,มี mitigation plan ไหม?,วางแผนป้องกันและแก้ไข,,
Gate 4,มีกี่ทางเลือก?,อย่างน้อย 2-3 ทาง,,
Gate 4,แต่ละทาง tradeoff คืออะไร?,วิเคราะห์ข้อดี/ข้อเสีย/ราคา/เวลา,,
Gate 4,Architecture design คืออะไร?,ออกแบบระบบ,,
Gate 4,Tech stack คืออะไร?,เลือก library/framework พร้อมเหตุผล,,
Gate 5,เลือกทางไหน?,เลือกทางที่เหมาะสมที่สุด,,
Gate 5,เพราะอะไร?,มีเหตุผลชัดเจน,,
Gate 5,ยอมรับความเสี่ยงอะไร?,ระบุความเสี่ยงที่ยอมรับได้,,
Gate 6,แบ่งงานเป็น tasks ยังไง?,แบ่งงานละเอียดพอ มี dependency ไหม,,
Gate 6,ประเมินเวลาเท่าไหร่?,แต่ละ task + รวมทั้งหมด,,
Gate 6,Priority คืออะไร?,Task ไหนทำก่อน ทำไม,,
Gate 7,โค้ดตรงตาม spec ไหม?,ทำครบทุก requirement ทำถูกต้อง,,
Gate 7,Follow best practices ไหม?,Clean code SOLID principles,,
Gate 7,มี tests ไหม?,Unit tests Integration tests Coverage,,
Gate 7,มี documentation ไหม?,Code comments API docs README,,
Gate 8,Code quality ดีไหม?,Clean code Maintainable No code smells,,
Gate 8,Test coverage พอไหม?,Coverage เท่าไหร่ Test cases ครบไหม,,
Gate 8,มีช่องโหว่ security ไหม?,SQL injection XSS CSRF,,
Gate 8,Performance ดีไหม?,Response time Memory usage Database queries,,
Gate 8.5,มีอะไรเปลี่ยนจาก architecture เดิม?,Module ใหม่ Dependency ใหม่ Data flow เปลี่ยน,,
Gate 8.5,Architecture docs อัปเดตหรือยัง?,docs/architecture.md docs/modules/,,
Gate 8.5,Dependency map อัปเดตหรือยัง?,Module ไหนพึ่งพาอะไร,,
Gate 9,เรียนรู้อะไร?,Technical Business Process knowledge,,
Gate 9,Skill ไหนที่พัฒนา?,ถามคำถาม คิดเชิงระบบ ตัดสินใจ,,
Gate 9,Blind spots ที่พบ?,อะไรที่มองข้าม อะไรที่ไม่คิดถึง,,
Gate 9,CTO จะคิดต่างยังไง?,มุมมองที่ต่าง สิ่งที่ CTO จะให้ความสำคัญ,,
