Gate,Checklist Item,Status,Notes,Date
Gate 0,เข้าใจงานที่ได้รับ,Pending,,
Gate 0,รู้ว่า user คือใคร,Pending,,
Gate 0,กำหนดขอบเขตชัดเจน,Pending,,
Gate 0,มี success criteria ที่วัดได้,Pending,,
Gate 0,รู้ว่า urgent จริงหรือไม่,Pending,,
Gate 0,ระบุข้อมูลที่ยังขาด,Pending,,
Gate 0,ตรวจสอบ Owner Escalation,Pending,,
Gate 1,เข้าใจ business value,Pending,,
Gate 1,เข้าใจ user pain points,Pending,,
Gate 1,มี success criteria ที่วัดได้,Pending,,
Gate 1,เข้าใจ revenue model,Pending,,
Gate 2,เข้าใจ architecture,Pending,,
Gate 2,รู้ upstream/downstream,Pending,,
Gate 2,รู้ dependency,Pending,,
Gate 2,วิเคราะห์ impact,Pending,,
Gate 3,ระบุความเสี่ยงทั้งหมด,Pending,,
Gate 3,ประเมินผลกระทบ,Pending,,
Gate 3,มี mitigation plan,Pending,,
Gate 3,มี rollback plan,Pending,,
Gate 4,มี 2-3 ทางเลือก,Pending,,
Gate 4,วิเคราะห์ tradeoff ครบ,Pending,,
Gate 4,ออกแบบ architecture,Pending,,
Gate 4,เลือก tech stack พร้อมเหตุผล,Pending,,
Gate 5,เลือกทางแล้ว,Pending,,
Gate 5,มีเหตุผลชัดเจน,Pending,,
Gate 5,ระบุความเสี่ยงที่ยอมรับ,Pending,,
Gate 5,รอ user confirm,Pending,,
Gate 5,บันทึก decision log,Pending,,
Gate 6,แบ่งงานเป็น tasks,Pending,,
Gate 6,ประเมินเวลาแต่ละ task,Pending,,
Gate 6,กำหนด priority,Pending,,
Gate 6,มี execution plan,Pending,,
Gate 7,โค้ดทำงานได้ถูกต้อง,Pending,,
Gate 7,Follow best practices,Pending,,
Gate 7,มี tests ครอบคลุม 80%+,Pending,,
Gate 7,มี documentation,Pending,,
Gate 8,Code quality ผ่าน,Pending,,
Gate 8,Test coverage > 80%,Pending,,
Gate 8,ไม่มีช่องโหว่ security,Pending,,
Gate 8,Performance ดี,Pending,,
Gate 8.5,ระบุการเปลี่ยนแปลง architecture,Pending,,
Gate 8.5,อัปเดต architecture docs,Pending,,
Gate 8.5,อัปเดต dependency map,Pending,,
Gate 8.5,อัปเดต module map,Pending,,
Gate 9,ทบทวนบทเรียน,Pending,,
Gate 9,ระบุ skill ที่พัฒนา,Pending,,
Gate 9,ชี้ blind spots,Pending,,
Gate 9,บันทึก lesson log,Pending,,
